title,url,year
"Stop Mocking, Start Testing",https://www.youtube.com/watch?v=Xu5EhKVZdV8,2012
A Noob Speaks to Noobs: Your First Site in the Cloud,https://www.youtube.com/watch?v=hyzPYaAmVOc,2012
"Keynote: Paul Graham, YCombinator",https://www.youtube.com/watch?v=R9ITLdmfdLI,2012
DevOps for Python: Doing More With Less,https://www.youtube.com/watch?v=sdkAXM36C7M,2012
Introduction and Welcome,https://www.youtube.com/watch?v=yflKOoAohEk,2012
Documenting Your Project With Sphinx,https://www.youtube.com/watch?v=L-fXOoxrt0M,2012
Python Epiphanies,https://www.youtube.com/watch?v=Pi9NpxAvYSs,2012
High Performance Python I,https://www.youtube.com/watch?v=Iw9-GckD-gQ,2012
High Performance Python II,https://www.youtube.com/watch?v=xHqlzuPq_qQ,2012
How to get the most out of your PyPy,https://www.youtube.com/watch?v=oZw8m_lyhvo,2012
Data analysis in Python with pandas,https://www.youtube.com/watch?v=w26x-z-BdWQ,2012
Web scraping: Reliably and efficiently pull data from pages that don't expect it,https://www.youtube.com/watch?v=52wxGESwQSA,2012
Lightning Talks,https://www.youtube.com/watch?v=3nSrK6mSrnc,2012
Write the Docs,https://www.youtube.com/watch?v=KEakc8r4r7M,2013
So you want to write an interpreter?,https://www.youtube.com/watch?v=LCslqgM48D4,2013
Keynote - Eben Upton,https://www.youtube.com/watch?v=PAHBZImmXsI,2013
How Import Works,https://www.youtube.com/watch?v=AqnxyRuenAg,2013
Using futures for async GUI programming in Python 3.3,https://www.youtube.com/watch?v=oJQdX_w1vXY,2013
Dynamic Code Patterns: Extending Your Applications with Plugins,https://www.youtube.com/watch?v=7K72DPDOhWo,2013
Python for Programmers: A Project-Based Tutorial,https://www.youtube.com/watch?v=Nc16qeGBtMU,2013
PyCon 2013 Keynote - Guido van Rossum,https://www.youtube.com/watch?v=sOQLVm0-8Yg,2013
"Transforming Code into Beautiful, Idiomatic Python",https://www.youtube.com/watch?v=OSGv2VnC0go,2013
Kivy: Building GUI and Mobile apps with Python,https://www.youtube.com/watch?v=yPWj6k5MRak,2013
PyCon 2013 Keynote - Guido van Rossum,https://www.youtube.com/watch?v=sOQLVm0-8Yg,2013
"Python 3.3: Trust Me, It's Better than 2.7",https://www.youtube.com/watch?v=f_6vDi7ywuA,2013
Solid Python Application Deployments For Everybody,https://www.youtube.com/watch?v=voq4Mm58NY0,2013
Allen Downey: Bayesian statistics made simple,https://www.youtube.com/watch?v=z_sIDLVisvA,2014
Renee Chu: Python for Social Scientists,https://www.youtube.com/watch?v=5tk0Jv95FsQ,2014
"Jason Moore, Tarun Gaba: Dynamics and Control with Python",https://www.youtube.com/watch?v=IoMR-ESzqw8,2014
Christine Spang: Search 101: An Introduction to Information Retrieval,https://www.youtube.com/watch?v=MtlH14N3REQ,2014
Mike Bayer: Introduction to SQLAlchemy,https://www.youtube.com/watch?v=P141KRbxVKc,2014
Richard Jones: Introduction to game programming,https://www.youtube.com/watch?v=bMt47wvK6u0,2014
Amjith Ramanujam: Introduction to Docker,https://www.youtube.com/watch?v=9bvdc55xYdo,2014
Selena Deckelmann: The Python Pipeline: Why you should reach out to local teachers,https://www.youtube.com/watch?v=_WAzrP5kyE8,2014
Susan Tan: Python in the Browser: Intro to Brython,https://www.youtube.com/watch?v=BcDV9QUium4,2014
Blaise Laflamme: Upgrade your Web Development Toolchain,https://www.youtube.com/watch?v=NJf6pUVc7U8,2014
Hynek Schlawack: The Sorry State of SSL,https://www.youtube.com/watch?v=SBQB_yS2K4M,2014
"Jarret Raim, Paul Kehrer: The State of Crypto in Python",https://www.youtube.com/watch?v=r_Pj__qjBvA,2014
Kushal Das: Teaching Python: To Infinity and Beyond,https://www.youtube.com/watch?v=j5YV5KzIbOc,2014
Mele Sax-Barnett: Python + Geographic Data = BFFs,https://www.youtube.com/watch?v=dIzicVIwL8Q,2014
"Barbara Shaurette, Katie Cunningham: The Young Coder: Let's Learn Python",https://www.youtube.com/watch?v=HgpsmOpZfD4,2014
Allison Kaptur: Import-ant Decisions,https://www.youtube.com/watch?v=aS5kXzbsLLQ,2014
Paul Tagliamonte: Getting Hy on Python: How to implement a Lisp front-end to Python,https://www.youtube.com/watch?v=AmMaN1AokTI,2014
"Karen Rustad, Asheesh Laroia: Turn Your Computer Into a Server",https://www.youtube.com/watch?v=HqEJxZzbdVM,2014
Kate Heddleston: So you want to be a full-stack developer? How to build a full-stack Py,https://www.youtube.com/watch?v=8uxQOzKi3_0,2014
Graham Dumpleton: Advanced methods for creating decorators,https://www.youtube.com/watch?v=7jGtDGxgwEY,2014
Andrew Godwin: Designing Django's Migrations,https://www.youtube.com/watch?v=a-_GAHfpk1Y,2014
James King: Castle Anthrax: Dungeon Generation Techniques,https://www.youtube.com/watch?v=DZl2ebl_Pnw,2014
Justin Abrahms: Computer science fundamentals for self-taught programmers,https://www.youtube.com/watch?v=nEquiifH33w,2014
Katherine Scott: Hello Physical World: A Crash Course on the Internet of Things,https://www.youtube.com/watch?v=grMfIoDgn9M,2014
Titus Brown: Data intensive biology in the cloud: instrumenting ALL the things,https://www.youtube.com/watch?v=RCRbfKK57X8,2014
Narahari Allamraju: Which messaging layer should you use if you want to build,https://www.youtube.com/watch?v=nAqklQ4wzhY,2014
"J. Hamrick, P. Battaglia: Games for Science: Creating interactive psyc experiments",https://www.youtube.com/watch?v=b8VsDmx7qdE,2014
Scott Lobdell: Programming an Autonomous 20 Foot Blimp with Python,https://www.youtube.com/watch?v=RntMu5DqfSo,2014
Dan Langer: A Scenic Drive through the Django Request-Response Cycle,https://www.youtube.com/watch?v=q0YqAbI7rw4,2014
David Beazley: Discovering Python,https://www.youtube.com/watch?v=RZ4Sn-Y7AP8,2014
"Alex Gaynor: Fast Python, Slow Python",https://www.youtube.com/watch?v=7eeEf_rAJds,2014
Rachel Sanders: Developing Flask Extensions,https://www.youtube.com/watch?v=OXN3wuHUBP0,2014
Erik Rose: Designing Poetic APIs,https://www.youtube.com/watch?v=JQYnFyG7A8c,2014
Jason Myers: Introduction to SQLAlchemy Core,https://www.youtube.com/watch?v=0PSdzUxRYpA,2014
Selena Deckelmann: Sane schema migrations with Alembic and SQLAlchemy,https://www.youtube.com/watch?v=_ZdqwCr4c7Q,2014
Megan Speir: So You Want to Build an API?,https://www.youtube.com/watch?v=gpGBsNhKy-E,2014
Ned Jackson Lovely: Cheap Helicopters In My Living Room,https://www.youtube.com/watch?v=jJ1vjr1dDqw,2014
Portia Burton: Know Thy Neighbor: Scikit and the K-Nearest Neighbor Algorithm,https://www.youtube.com/watch?v=tQNZRfsZF3g,2014
